,bid,mid,ask
2024-07-02 05:43:17.991638470+00:00,1.07307,1.073105,1.07314
2024-07-02 05:43:20.990197667+00:00,1.07305,1.073095,1.07314
2024-07-02 05:43:21.040705818+00:00,1.07305,1.07309,1.07313
2024-07-02 05:43:21.590930223+00:00,1.07307,1.073105,1.07314
2024-07-02 05:43:27.658354133+00:00,1.07307,1.07311,1.07315
2024-07-02 05:43:29.776819143+00:00,1.07305,1.073095,1.07314
2024-07-02 05:43:29.998367582+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:30.407451403+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:32.403739038+00:00,1.0731,1.073135,1.07317
2024-07-02 05:43:33.449297070+00:00,1.0731,1.07314,1.07318
2024-07-02 05:43:35.755968403+00:00,1.0731,1.073135,1.07317
2024-07-02 05:43:39.371332869+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:40.844888409+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:40.844888409+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:41.862117033+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:43.278710312+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:43.657649284+00:00,1.07308,1.0731199999999999,1.07316
2024-07-02 05:43:43.786299874+00:00,1.07309,1.073125,1.07316
2024-07-02 05:43:44.395524563+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:45.505839303+00:00,1.07308,1.073125,1.07317
2024-07-02 05:43:45.654237847+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:49.626325920+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:50.674410883+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:51.428396067+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:52.144885604+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:52.226125134+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:52.774378437+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:53.033435402+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:53.382692163+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:54.385400622+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:55.306226894+00:00,1.07309,1.07313,1.07317
2024-07-02 05:43:56.318188322+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:43:59.031919699+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:44:00.059144932+00:00,1.07309,1.07313,1.07317
2024-07-02 05:44:01.179704524+00:00,1.07307,1.073115,1.07316
2024-07-02 05:44:01.356649455+00:00,1.07306,1.0731,1.07314
2024-07-02 05:44:03.836431382+00:00,1.07305,1.073085,1.07312
2024-07-02 05:44:04.037933403+00:00,1.07305,1.07309,1.07313
2024-07-02 05:44:05.163065396+00:00,1.07305,1.07309,1.07313
2024-07-02 05:44:07.091264788+00:00,1.07305,1.073095,1.07314
2024-07-02 05:44:07.417878107+00:00,1.07304,1.07308,1.07312
2024-07-02 05:44:07.770150392+00:00,1.07305,1.073085,1.07312
2024-07-02 05:44:07.953172297+00:00,1.07305,1.07309,1.07313
2024-07-02 05:44:18.272847329+00:00,1.07304,1.073075,1.07311
2024-07-02 05:44:30.125665017+00:00,1.07304,1.07307,1.0731
2024-07-02 05:44:30.565073853+00:00,1.07304,1.073075,1.07311
2024-07-02 05:44:36.162656697+00:00,1.07305,1.07308,1.07311
2024-07-02 05:44:37.417523071+00:00,1.07304,1.07307,1.0731
2024-07-02 05:44:37.490102753+00:00,1.07305,1.07308,1.07311
2024-07-02 05:44:38.837280921+00:00,1.07306,1.07309,1.07312
2024-07-02 05:44:48.551530938+00:00,1.07308,1.073115,1.07315
2024-07-02 05:44:48.762476693+00:00,1.07309,1.07312,1.07315
2024-07-02 05:44:51.423630159+00:00,1.07311,1.07314,1.07317
2024-07-02 05:44:51.423630159+00:00,1.07311,1.07314,1.07317
2024-07-02 05:45:01.069802731+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:01.377553254+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:01.795259760+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:06.795259760+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:09.120044227+00:00,1.07311,1.07314,1.07317
2024-07-02 05:45:24.533407319+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:25.020221266+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:25.490064440+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:27.062025229+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:28.065601325+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:30.058847980+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:32.422947049+00:00,1.07308,1.073115,1.07315
2024-07-02 05:45:33.348100241+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:34.912411614+00:00,1.07308,1.073115,1.07315
2024-07-02 05:45:38.426944467+00:00,1.07307,1.0731,1.07313
2024-07-02 05:45:41.646058435+00:00,1.07307,1.073105,1.07314
2024-07-02 05:45:41.860816596+00:00,1.07307,1.0731,1.07313
2024-07-02 05:45:42.194853661+00:00,1.07307,1.073105,1.07314
2024-07-02 05:45:43.723910884+00:00,1.07307,1.0731,1.07313
2024-07-02 05:45:45.434331441+00:00,1.07308,1.073115,1.07315
2024-07-02 05:45:47.986558190+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:48.339175997+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:48.421677116+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:51.626004807+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:51.944838168+00:00,1.0731,1.073135,1.07317
2024-07-02 05:45:52.559649591+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:53.110558886+00:00,1.0731,1.07313,1.07316
2024-07-02 05:45:53.929058333+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:54.694015446+00:00,1.07309,1.073125,1.07316
2024-07-02 05:45:54.920345106+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:55.509398887+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:58.319364005+00:00,1.07309,1.07313,1.07317
2024-07-02 05:45:59.939092603+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:00.301742016+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:00.427540627+00:00,1.07311,1.073145,1.07318
2024-07-02 05:46:10.141757106+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:10.534187055+00:00,1.07311,1.07315,1.07319
2024-07-02 05:46:11.284773630+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:11.451010735+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:12.458907146+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:12.599888530+00:00,1.0731,1.07313,1.07316
2024-07-02 05:46:12.773721651+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:13.061226760+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:13.858953707+00:00,1.0731,1.07313,1.07316
2024-07-02 05:46:14.058718972+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:14.453221955+00:00,1.0731,1.07313,1.07316
2024-07-02 05:46:14.582065202+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:15.272699537+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:15.845907739+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:16.285403567+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:16.356092596+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:17.082463289+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:17.526119020+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:17.593380911+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:18.478734023+00:00,1.07309,1.073125,1.07316
2024-07-02 05:46:19.020233256+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:19.324844889+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:19.882374630+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:20.314063874+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:21.858207057+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:22.631761255+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:22.860207682+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:24.064714293+00:00,1.07309,1.07313,1.07317
2024-07-02 05:46:24.757958736+00:00,1.0731,1.073145,1.07319
2024-07-02 05:46:26.645797130+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:27.060014748+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:30.527841625+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:31.730917576+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:32.071995710+00:00,1.07311,1.073145,1.07318
2024-07-02 05:46:32.321307264+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:32.541390128+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:32.788878804+00:00,1.07311,1.07314,1.07317
2024-07-02 05:46:33.095193654+00:00,1.07309,1.0731350000000002,1.07318
2024-07-02 05:46:33.708916540+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:34.100099577+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:34.728694282+00:00,1.0731,1.073135,1.07317
2024-07-02 05:46:35.059041521+00:00,1.0731,1.07314,1.07318
2024-07-02 05:46:37.686988240+00:00,1.0731,1.073135,1.07317
